1177.HK.Open,1177.HK.High,1177.HK.Low,1177.HK.Close,1177.HK.Volume,1177.HK.Adjusted
1.29778,1.31111,1.29333,1.29778,9329828,1.028103
1.29333,1.31556,1.28,1.31556,16898036,1.042189
1.32444,1.32889,1.30222,1.31111,11460276,1.038663
1.32,1.32,1.28889,1.28889,7537426,1.021061
1.28889,1.29778,1.26667,1.28889,6996582,1.021061
1.32,1.32444,1.27556,1.28,9953698,1.014018
1.29778,1.29778,1.25778,1.26222,12299598,0.999933
1.27556,1.28,1.24889,1.25333,9337084,0.99289
1.26667,1.26667,1.24889,1.25333,7133191,0.99289
1.24444,1.26667,1.24889,1.24889,5641430,0.989373
1.24889,1.25333,1.21333,1.21778,17939642,0.964727
1.21778,1.21778,1.19111,1.19111,19125000,0.943599
1.2,1.21778,1.18222,1.18667,19004900,0.940082
1.19111,1.21333,1.17333,1.20444,18494998,0.954159
1.20444,1.21333,1.16444,1.17333,17257486,0.929514
1.19111,1.19111,1.12889,1.14667,35610480,0.908394
1.15556,1.15556,1.11556,1.12444,34604602,0.890783
1.13333,1.16889,1.11111,1.13778,25127525,0.901351
1.15111,1.15111,1.12444,1.12444,12303032,0.890783
1.13778,1.13778,1.11111,1.13333,38052254,0.897826
1.12,1.12889,1.10222,1.11111,29709916,0.880223
1.11556,1.14222,1.11556,1.13778,9051656,0.901351
1.12370666666667,1.146665,1.11481833333333,1.13407666666667,10095296.6666667,0.898417166666667
1.16444,1.16889,1.11111,1.11556,15313500,0.883748
1.11556,1.13333,1.07556,1.08444,27767491,0.859095
1.08889,1.09778,1.05778,1.07111,16989298,0.848535
1.06667,1.07556,1.03556,1.04444,21137846,0.827407
1.04889,1.06667,1.02222,1.03111,16131028,0.816847
1.04444,1.11111,1.03111,1.09333,21560818,0.866138
1.10222,1.16444,1.08889,1.12444,32737648,0.890783
1.12,1.14222,1.12,1.12889,6610500,0.894308
1.12889,1.16,1.12889,1.14222,13637007,0.904868
1.14222,1.16,1.12444,1.15111,12793500,0.911911
1.15111,1.19111,1.14222,1.18222,16438500,0.936556
1.17778,1.2,1.15111,1.19111,26581500,0.943599
1.18222,1.23556,1.16889,1.21333,22447998,0.961202
1.21333,1.21778,1.14667,1.17333,34334546,0.929514
1.16889,1.22222,1.16889,1.20889,16843925,0.957685
1.21333,1.22222,1.19111,1.20444,10263015,0.954159
1.22222,1.22222,1.17333,1.19111,12278952,0.943599
1.17778,1.20444,1.16444,1.2,11505796,0.950642
1.2,1.22222,1.2,1.21778,15359960,0.964727
1.23111,1.23556,1.20444,1.20889,23686200,0.957685
1.19556,1.22222,1.18222,1.19111,16914778,0.943599
1.18222,1.20444,1.16444,1.19111,28504924,0.943599
1.2,1.2,1.17778,1.19556,22437000,0.947124
1.2,1.23556,1.19111,1.20444,18752134,0.954159
1.20889,1.22222,1.19111,1.2,13855500,0.950642
1.18667,1.21333,1.16889,1.20444,10057500,0.954159
1.2,1.20444,1.13778,1.17778,23821654,0.933039
1.16,1.21333,1.16,1.21333,13976327,0.961202
1.16444,1.2,1.14667,1.17778,13161980,0.933039
1.16889,1.20889,1.16889,1.20444,8901000,0.954159
1.22222,1.22222,1.19556,1.20444,10836148,0.954159
1.20444,1.21333,1.18222,1.18667,10930500,0.940082
1.18667,1.2,1.14222,1.18667,13242103,0.940082
1.18667,1.19556,1.16,1.17778,10144440,0.933039
1.17778,1.18222,1.15556,1.15556,14239280,0.915437
1.14222,1.19111,1.14222,1.16444,10043998,0.922471
1.19111,1.24444,1.17778,1.24,42123699,0.98233
1.24444,1.24889,1.22222,1.23556,12817692,0.978813
1.22667,1.30222,1.21778,1.29333,34038000,1.024578
1.24444,1.29778,1.24444,1.27111,32512507,1.006976
1.26667,1.30667,1.25778,1.30222,15457498,1.031621
1.32,1.32,1.27111,1.28889,13170206,1.021061
1.28889,1.28889,1.25778,1.28,11983754,1.014018
1.28444,1.28889,1.26667,1.27111,19094234,1.006976
1.25333,1.32889,1.25333,1.32889,26815500,1.052748
1.32,1.32889,1.30222,1.32444,13863614,1.049223
1.32444,1.33333,1.30222,1.32,23091311,1.045706
1.31556,1.31556,1.30222,1.31111,11299201,1.038663
1.30222,1.31111,1.28,1.28889,25509690,1.021061
1.28,1.28889,1.27111,1.28889,7891209,1.021061
1.28889,1.28889,1.24,1.27111,36184496,1.006976
1.28889,1.28889,1.24444,1.25778,9078507,0.996415
1.25778,1.26667,1.24444,1.26222,11358002,0.999933
1.26667,1.27556,1.23556,1.24,14674500,0.98233
1.26667,1.26667,1.24444,1.25778,14324528,0.996415
1.26667,1.26667,1.24,1.24444,6859888,0.985847
1.24889,1.25778,1.24,1.25778,5850000,0.996415
1.27111,1.28444,1.26222,1.26667,16861500,1.003458
1.26667,1.28889,1.24444,1.26667,17504917,1.003458
1.25778,1.30667,1.25778,1.30222,18631064,1.031621
1.29778,1.30667,1.28889,1.30222,21825000,1.031621
1.30222,1.31556,1.28889,1.31111,24485578,1.038663
1.32,1.32889,1.30222,1.32444,38124000,1.049223
1.32444,1.33333,1.29778,1.32,36296998,1.045706
1.31556,1.31556,1.25778,1.30667,7960498,1.035146
1.28889,1.30667,1.26667,1.27556,4680353,1.010501
1.26667,1.28889,1.2,1.21333,26344796,0.961202
1.21333,1.25778,1.20444,1.24889,8519416,0.989373
1.25778,1.26667,1.22667,1.22667,6831871,0.97177
1.22667,1.24444,1.2,1.24444,15816748,0.985847
1.26222,1.26222,1.21778,1.24,13635000,0.98233
1.22667,1.23111,1.21778,1.23111,6984074,0.975287
1.23111,1.23111,1.2,1.23111,4435384,0.975287
1.23111,1.23556,1.22222,1.22222,6702484,0.984234
1.22222,1.22667,1.19556,1.22222,7074000,0.984234
1.21778,1.23556,1.21333,1.22222,2538000,0.984234
1.23556,1.25778,1.21778,1.25778,9126000,1.01287
1.23556,1.25778,1.23556,1.24444,5040920,1.002127
1.23111,1.24,1.21333,1.23111,3267000,0.991393
1.26222,1.27556,1.24,1.27111,17144737,1.023605
1.24444,1.27111,1.24,1.26667,9416772,1.020029
1.26667,1.26667,1.22222,1.22667,10773000,0.987818
1.23111,1.23556,1.17333,1.17333,18989392,0.960524
1.17333,1.18667,1.16444,1.16444,10706098,0.953247
1.15556,1.15556,1.11111,1.14667,17661562,0.9387
1.12889,1.16889,1.12889,1.15111,5214384,0.942334
1.15111,1.16889,1.14667,1.14667,10760018,0.9387
1.14667,1.15111,1.12,1.12444,16130072,0.920501
1.11111,1.14222,1.11111,1.12889,10405316,0.924144
1.12,1.13333,1.06667,1.07111,20079000,0.876844
1.08444,1.10222,1.07556,1.08444,9134046,0.887756
1.05333,1.08889,1.05333,1.06222,18090772,0.869566
1.05333,1.06667,1.04889,1.06667,12662910,0.873209
1.05778,1.11556,1.06667,1.11556,30812720,0.913232
1.11111,1.11111,1.08,1.08889,12413666,0.891399
1.09778,1.19111,1.09778,1.17778,15957000,0.964167
1.17778,1.20444,1.17333,1.18222,12930808,0.967802
1.2,1.28444,1.2,1.24,54708574,1.015103
1.27111,1.30222,1.24889,1.29333,53846698,1.05876
1.28889,1.31556,1.28,1.28444,25821000,1.051482
1.28889,1.30222,1.27111,1.27556,15192551,1.044213
1.27556,1.28889,1.27556,1.28889,17102336,1.055125
1.29778,1.29778,1.24889,1.25778,4291576,1.029658
1.24444,1.24444,1.16444,1.18667,19084500,0.971445
1.16444,1.18667,1.15556,1.16,13518290,0.949612
1.16444,1.2,1.16444,1.19111,9295121,0.975079
1.19111,1.21778,1.17333,1.20444,9837000,0.985992
1.19556,1.20444,1.17333,1.17778,2916000,0.964167
1.16889,1.21333,1.16889,1.19556,4766767,0.978722
1.20444,1.20889,1.16,1.19111,7148002,0.975079
1.19556,1.2,1.16444,1.19556,5224500,0.978722
1.2,1.20889,1.17778,1.20889,7487026,0.989634
1.22222,1.22222,1.19111,1.21778,8644462,0.996912
1.2,1.23111,1.19111,1.20889,5508000,0.989634
1.2,1.21778,1.19556,1.21333,5743116,0.99327
1.20444,1.21333,1.19556,1.20889,8012601,0.989634
1.2,1.20444,1.18222,1.2,6179566,0.982357
1.18667,1.20889,1.17333,1.20889,4962308,0.989634
1.21778,1.21778,1.19111,1.2,3941998,0.982357
1.18667,1.19556,1.16889,1.17333,8333998,0.960524
1.15111,1.17333,1.13333,1.15556,8154000,0.945977
1.14667,1.15111,1.11111,1.13778,10603141,0.931422
1.08,1.12,1.06222,1.08889,18011142,0.891399
1.05778,1.14222,1.03111,1.13778,10015567,0.931422
1.09333,1.10222,1.00444,1.08444,16069752,0.887756
1.12,1.14222,1.11111,1.13778,9008998,0.931422
1.11111,1.17333,1.10222,1.17333,11076739,0.960524
1.17333,1.17333,1.12,1.12889,11106000,0.924144
1.15556,1.15556,1.12889,1.13778,17698534,0.931422
1.12889,1.13778,1.11556,1.13333,9148500,0.927779
1.12889,1.15111,1.12444,1.14222,3532498,0.935057
1.12,1.14222,1.10667,1.12889,2736000,0.924144
1.06667,1.09333,1.05778,1.06222,7055280,0.869566
1.04889,1.06222,1.01778,1.03111,6916500,0.844099
1.02222,1.02222,1.00889,1.02222,7852498,0.836821
1.04444,1.05778,1.04444,1.05778,4917006,0.865931
1.05778,1.11111,1.04,1.11111,7069500,0.909589
1.09778,1.09778,1.04444,1.06667,17199225,0.873209
1.05778,1.06222,0.86667,0.97778,67322516,0.800441
1.00444,1.00889,0.97778,0.99556,25375500,0.814996
1.00444,1.00444,0.97778,0.99111,52244305,0.811353
1,1.06667,1,1.02222,38907290,0.836821
1.02222,1.02667,0.99556,1,4518000,0.818631
0.97778,0.97778,0.96,0.96,6920998,0.785886
0.96,0.98667,0.93333,0.96444,7911000,0.78952
0.96444,0.96444,0.94667,0.95111,3906000,0.778608
0.95556,0.97778,0.95556,0.96889,5688000,0.793163
0.96889,0.98667,0.96444,0.98222,5550514,0.821023
0.95556,0.95556,0.93333,0.93778,2278955,0.783877
0.93333,0.94222,0.88889,0.90667,12003786,0.774387
0.92444,0.94667,0.92444,0.93778,2425748,0.800959
0.96,0.97778,0.95111,0.96,7257436,0.819937
0.96889,1,0.95111,0.97333,10133998,0.831322
0.98222,1.01778,0.97333,1.00889,15070196,0.861694
1,1.00889,0.95556,1,16145775,0.854101
0.96889,0.97333,0.89333,0.95556,21766950,0.816145
0.91556,0.98222,0.88889,0.97333,11500603,0.831322
0.97333,0.97333,0.86667,0.93333,23526000,0.797158
0.92889,1,0.92444,0.98667,22478915,0.842716
0.97333,1.00889,0.94667,0.99111,35694000,0.846508
0.98667,1.00889,0.96889,0.99111,38928548,0.846508
0.98667,0.99111,0.96,0.97778,16973998,0.835123
0.94667,0.96,0.90222,0.91111,9606069,0.77818
0.93333,0.98222,0.93333,0.96889,8715042,0.82753
0.99111,0.99111,0.93333,0.97778,20791388,0.835123
0.97778,1.00444,0.96889,0.97778,7551000,0.835123
1,1.01333,0.96889,0.97778,24700500,0.835123
0.96444,1.00889,0.96444,0.98667,20406049,0.842716
0.98667,1.02222,0.98667,1.01333,39261694,0.865486
1.00889,1.00889,0.97778,0.98222,12329244,0.838915
1.00444,1.02667,1.00444,1.02667,38682000,0.87688
1.01333,1.01333,0.97778,0.98667,9436498,0.842716
1.00444,1.01333,1,1.00889,4523155,0.861694
1.02222,1.07111,1.00889,1.06222,67954500,0.907243
1.07556,1.07556,1.03556,1.04444,15565500,0.892057
1.08,1.08,1.04444,1.05778,8304005,0.903451
1.05778,1.06222,1.04889,1.05778,17797493,0.903451
1.03556,1.07111,1.03111,1.05778,8438281,0.903451
1.06667,1.09778,1.06667,1.08444,29101500,0.926221
1.12889,1.12889,1.08,1.08,28368646,0.922429
1.07111,1.08444,1.04444,1.06667,9130500,0.911043
1.04,1.07556,1.02222,1.07111,17160606,0.914836
1.04,1.06667,1.04,1.06667,4658625,0.911043
1.05778,1.06667,1.03556,1.03556,7731000,0.884473
1.05778,1.08,1.04444,1.05778,12755477,0.903451
1.04889,1.07111,1.04444,1.06222,10988998,0.907243
1.05333,1.07111,1.02667,1.03111,2695500,0.880672
1.06667,1.06667,1.04444,1.04889,3439600,0.895858
1.02222,1.02222,0.98667,0.99111,5107502,0.846508
1,1.01333,0.98667,1.00889,2802593,0.861694
1.00889,1.01333,0.96,1.00444,3366000,0.857893
1.00889,1.04,1,1.03111,8884494,0.880672
1.02667,1.05333,1.02667,1.03556,13388130,0.884473
1.04444,1.04444,1.00889,1.03111,11323141,0.880672
1.01333,1.01333,0.99111,1.00889,4509000,0.861694
1.00889,1.06667,1,1.03556,20479136,0.884473
1.01333,1.04889,0.99556,1.04,20277000,0.888265
1.02222,1.06222,1.01778,1.05778,33522460,0.903451
1.03556,1.07111,1.03556,1.05778,25482375,0.903451
1.02667,1.06667,1.02667,1.06222,16245000,0.907243
1.06667,1.09778,1.06667,1.08,26613000,0.922429
1.06667,1.08889,1.06222,1.08444,33429892,0.926221
1.08444,1.08444,1.05778,1.06667,31297498,0.911043
1.07556,1.11556,1.07556,1.09778,54949696,0.937615
1.09778,1.10667,1.06222,1.07556,12878206,0.918637
1.08889,1.10222,1.04889,1.08889,14207461,0.930022
1.08,1.09778,1.05333,1.05778,20074500,0.920355
1.06667,1.11111,1.06667,1.08,28134000,0.939689
1.07111,1.08,1.04889,1.06667,14861691,0.92809
1.04889,1.06667,1.03556,1.06667,2465894,0.92809
1.07111,1.08,1.04889,1.07111,20864878,0.931953
1.05333,1.06222,1.05333,1.05778,2612203,0.920355
1.04889,1.05333,1.03111,1.04,3073880,0.904885
1.04444,1.04889,1.01778,1.04889,6543394,0.91262
1.03111,1.04889,1.02222,1.04,7432693,0.904885
1.02222,1.03111,1.00889,1.02222,3708108,0.889415
1.04,1.04,1.02222,1.02222,1398053,0.889415
1.03111,1.05778,1.02667,1.03111,7386590,0.89715
1.02222,1.03556,0.98667,1.01778,5037631,0.885552
1.01778,1.03111,1.00889,1.02667,1853278,0.893287
1.020446,1.032888,1.007112,1.028448,2452516.4,0.894834
