,cnn,cnn-m,lstm,lstm-m,avg,mov-win,naive
0941.HK,1.466661978,1.590652716,0.88974362,1.048103642,11.67795277,1.034038067,0.842940629
1288.HK,0.052486939,0.059998664,0.052080664,0.053480693,0.401247472,0.066862188,0.050926045
0005.HK,0.742694771,1.362686342,0.702973336,0.821744025,7.420184612,0.869647682,0.677893996
NEW-DATA-1,0.043190927,0.081250496,0.043156121,0.094098933,2.439840078,0.226770267,0.114941739
NEW-DATA-2,0.179386332,0.27893454,0.04562703,0.257363608,3.221385002,0.255236715,0.128395543
hungaryChickenpox,61.25881729,65.60407448,56.29358635,60.73847389,73.85552979,57.13631821,69.88183594
traffic,3.136916518,4.20595541,3.068999863,4.833308697,5.091374397,3.845471859,3.248931885
gnfuv-pi2,0.597684526,0.582236642,0.630400282,0.536207247,4.15751791,0.633687258,0.577350259
gnfuv-pi3,0.768995941,0.810170442,0.750553745,0.764489335,0.964236617,0.808727741,0.846114039
gnfuv-pi4,2.987437916,3.153651595,1.636578989,1.02787165,18.03398514,0.425819695,0.367381722
gnfuv-pi5,1.856934226,1.51031332,1.265399253,1.227299285,5.350507736,1.157038808,0.857400179
