"Index","0005.HK.Open","0005.HK.High","0005.HK.Low","0005.HK.Close","0005.HK.Volume","0005.HK.Adjusted"
"2011-01-03",79.75,80.449997,79.449997,80.050003,14119580,50.001659
"2011-01-04",79.800003,80.449997,79.800003,80.300003,14060508,50.157818
"2011-01-05",80.800003,82.349998,80.550003,82.25,44631532,51.375843
"2011-01-06",82.949997,83.099998,82.449997,82.699997,27712903,51.656929
"2011-01-07",82.800003,83.599998,82.550003,82.699997,28182115,51.656929
"2011-01-10",82.550003,82.949997,81.550003,81.699997,20843754,51.032295
"2011-01-11",81.699997,83.050003,81.699997,82.400002,26128987,51.469528
"2011-01-12",83.599998,85.800003,83.550003,85.449997,78328959,53.374657
"2011-01-13",87.25,87.349998,86.099998,86.599998,74038365,54.092979
"2011-01-14",87.199997,87.199997,86.349998,86.75,45098982,54.186668
"2011-01-17",87.099998,87.300003,86.5,86.800003,27782919,54.217915
"2011-01-18",87,88.699997,86.849998,87.5,57694205,54.655136
"2011-01-19",88.349998,88.349998,87.449997,87.949997,30145000,54.936234
"2011-01-20",86.949997,87,86.099998,86.150002,34651373,53.811916
"2011-01-21",86.199997,86.75,85.900002,86.400002,26847671,53.968048
"2011-01-24",86.599998,86.800003,85.75,86.650002,18936392,54.124214
"2011-01-25",87,87.599998,86.650002,86.849998,18934447,54.249138
"2011-01-26",86.349998,86.550003,85.300003,86,26961410,53.718208
"2011-01-27",85.599998,86.25,85.349998,85.75,21450801,53.562054
"2011-01-28",86.199997,86.75,85.800003,86.099998,22209363,53.780674
"2011-01-31",84.650002,85,84.349998,84.75,27181702,52.937416
"2011-02-01",85.150002,85.400002,84.699997,85.300003,12328126,53.280983
"2011-02-02",85.641668,85.9333346666667,85.2416636666667,85.7500025,18756140.3333333,53.5620638333333
"2011-02-07",88.099998,88.599998,87.949997,88,50896212,54.967468
"2011-02-08",88.75,89.25,88.099998,88.800003,49485226,55.467152
"2011-02-09",89.699997,90.050003,89.150002,89.699997,59036260,56.029324
"2011-02-10",90.300003,90.349998,88.650002,89.300003,51069644,55.779484
"2011-02-11",89.199997,89.25,87.550003,88.699997,39438478,55.404694
"2011-02-14",89,89.199997,88.25,88.949997,27304593,55.560867
"2011-02-15",87.650002,88.150002,87.400002,87.5,21343306,54.655136
"2011-02-16",88.099998,88.949997,87.75,88.900002,24840261,55.529621
"2011-02-17",90.150002,90.800003,89.5,90.75,57258199,56.685188
"2011-02-18",91.5,91.900002,91,91.75,50097727,57.30983
"2011-02-21",90.900002,91.199997,90.25,90.599998,16718626,56.591511
"2011-02-22",89.050003,89.050003,88.150002,88.25,27846211,55.123615
"2011-02-23",88,89.400002,87.699997,89.050003,26111246,55.623344
"2011-02-24",88.199997,88.75,87,87.150002,24391938,54.436527
"2011-02-25",87.699997,89.5,87.699997,89.050003,28394592,55.623344
"2011-02-28",88.699997,90.5,88.699997,90.400002,32461601,56.466591
"2011-03-01",85.75,86.349998,85.5,85.75,98475308,53.562054
"2011-03-02",83.550003,84.300003,83.300003,83.900002,67532450,52.406483
"2011-03-03",84,84.699997,84,84.199997,32849083,52.593884
"2011-03-04",84.599998,84.800003,83.849998,83.900002,40026038,52.406483
"2011-03-07",83,83.449997,82.900002,83.099998,44551728,51.906761
"2011-03-08",83.400002,85.349998,83.300003,85,48382774,53.093582
"2011-03-09",84.650002,85.050003,84.599998,84.849998,26363219,52.999874
"2011-03-10",84.5,84.5,83.550003,83.699997,29191118,52.281559
"2011-03-11",83,83.449997,82.599998,82.849998,43428358,51.750614
"2011-03-14",82.400002,83.5,82.400002,83,23590597,51.844311
"2011-03-15",82.199997,82.300003,80.5,81.050003,75338651,50.626297
"2011-03-16",81,81.150002,80,80.349998,44199764,50.271751
"2011-03-17",78.5,79.25,78,78.949997,45995024,49.395824
"2011-03-18",79.050003,79.699997,79.050003,79.449997,30307593,49.708649
"2011-03-21",79.650002,80.849998,79.650002,80.400002,41287112,50.303032
"2011-03-22",80.5,81,80.300003,80.650002,22704456,50.459427
"2011-03-23",80.199997,80.5,80,80.150002,20766098,50.146614
"2011-03-24",80.5,80.75,80.050003,80.199997,27215217,50.177879
"2011-03-25",81.199997,82.300003,81.150002,82.199997,52278959,51.429214
"2011-03-28",81.300003,82.150002,81.25,82,42692820,51.304081
"2011-03-29",81.199997,82.099998,81.199997,81.5,16286145,50.991249
"2011-03-30",81.400002,82.5,81.349998,82,33636169,51.304081
"2011-03-31",82,82.300003,81.5,81.75,20763154,51.147671
"2011-04-01",80.949997,81.650002,80.550003,81.5,29660233,50.991249
"2011-04-04",81.550003,82.449997,81.650002,82.199997,29888316,51.429214
"2011-04-06",82.199997,83.599998,82.050003,83.050003,45500781,51.961025
"2011-04-07",83.699997,84.400002,83.5,84.300003,39562719,52.743103
"2011-04-08",84.599998,85.25,84.550003,85.150002,40458062,53.274906
"2011-04-11",84.75,84.900002,83.949997,84.400002,25223364,52.805672
"2011-04-12",84,84.199997,83.400002,83.699997,23798801,52.36771
"2011-04-13",83.300003,84.199997,83.199997,83.849998,19989166,52.461548
"2011-04-14",82.949997,83.75,82.949997,83.650002,8826082,52.336411
"2011-04-15",83.599998,84.150002,83,83.099998,15553747,51.992294
"2011-04-18",83.099998,83.400002,82.25,82.300003,17677556,51.491783
"2011-04-19",81.800003,81.900002,81.349998,81.599998,20673330,51.053825
"2011-04-20",82.449997,83,82,82.900002,22171678,51.867184
"2011-04-21",83.400002,84.25,83.300003,84.050003,26072970,52.586689
"2011-04-26",83.550003,84.349998,83.300003,84,17617864,52.555378
"2011-04-27",84.650002,84.75,83.650002,83.800003,13277375,52.430271
"2011-04-28",85,85.349998,84.25,84.449997,44266850,52.836929
"2011-04-29",84.599998,84.900002,84.199997,84.25,16175033,52.711803
"2011-05-03",84.099998,85,83.800003,84.349998,16758877,52.774364
"2011-05-04",84.449997,84.449997,83.699997,83.949997,17426187,52.524113
"2011-05-05",83.599998,84.300003,83.5,83.849998,18926104,52.461548
"2011-05-06",82.949997,83.199997,82.650002,82.699997,24588502,51.742054
"2011-05-09",83.199997,84.050003,83.199997,84,23838681,52.555378
"2011-05-11",83.050003,83.900002,82.449997,82.849998,33498177,51.835892
"2011-05-12",82,82.099998,81.550003,81.800003,27145932,51.178951
"2011-05-13",81.900002,83.199997,81.550003,83.050003,18722884,51.961025
"2011-05-16",81.550003,81.949997,81.550003,81.800003,20819317,51.178951
"2011-05-17",81,81.349998,80.75,81.25,25608170,50.834835
"2011-05-18",80.699997,81.349998,80.699997,80.800003,17615007,50.615593
"2011-05-19",80.650002,80.800003,80.25,80.550003,23617817,50.458984
"2011-05-20",80.75,81.150002,80.75,81,11407399,50.740871
"2011-05-23",80.099998,80.199997,79.300003,79.449997,41679210,49.769905
"2011-05-24",79,79.400002,78.800003,79.099998,30861980,49.550652
"2011-05-25",78.5,78.949997,78.199997,78.849998,34318043,49.394047
"2011-05-26",79.349998,80.300003,79.300003,80.150002,23177323,50.208408
"2011-05-27",80.050003,80.900002,79.800003,80.650002,17757327,50.52161
"2011-05-30",80.800003,80.949997,80.550003,80.650002,8522767,50.52161
"2011-05-31",81,82.150002,81,82,26194789,51.367298
"2011-06-01",81.650002,82.050003,81.449997,81.5,17444934,51.054089
"2011-06-02",80.25,80.349998,79.849998,80,32488497,50.114429
"2011-06-03",80.25,80.5,79.900002,80.400002,24155281,50.365017
"2011-06-07",79.599998,80.25,79.550003,80.25,16898939,50.271057
"2011-06-08",79.599998,79.699997,79.150002,79.400002,23397739,49.738586
"2011-06-09",78.900002,79.400002,78.699997,79.300003,22665068,49.675945
"2011-06-10",79.5,79.5,78.5,78.75,20481864,49.331413
"2011-06-13",78.150002,78.800003,78,78.800003,18286779,49.362724
"2011-06-14",78.400002,79.599998,78.400002,79.050003,15695118,49.519325
"2011-06-15",78.699997,78.75,78,78.050003,31351098,48.89291
"2011-06-16",77,77.150002,76.550003,76.849998,39911447,48.141186
"2011-06-17",76.949997,77,75.650002,76.050003,28924655,47.640034
"2011-06-20",75.650002,76.449997,75.400002,75.5,23611236,47.295509
"2011-06-21",76,76.849998,76,76.75,17065710,48.078552
"2011-06-22",77,77.300003,76.449997,76.599998,14069283,47.984577
"2011-06-23",75.800003,76.099998,75.599998,75.900002,19475153,47.546082
"2011-06-24",75.599998,76.599998,75.449997,76.349998,21543188,47.827972
"2011-06-27",75.050003,75.300003,75,75.199997,28499477,47.107574
"2011-06-28",75.599998,75.849998,75.300003,75.5,14246383,47.295509
"2011-06-29",76,76.349998,75.699997,75.949997,12762418,47.577393
"2011-06-30",76.800003,78,76.699997,77.050003,29147579,48.266476
"2011-07-04",78.550003,78.849998,78.199997,78.300003,21790309,49.049522
"2011-07-05",78.400002,78.5,78.050003,78.25,9380979,49.018181
"2011-07-06",78.099998,78.699997,77.699997,77.75,15144229,48.704971
"2011-07-07",77.900002,78.699997,77.849998,78,11666811,48.861591
"2011-07-08",78.300003,78.550003,78,78.25,13671232,49.018181
"2011-07-11",77.449997,77.449997,76.599998,77.050003,14200805,48.266476
"2011-07-12",76.050003,76.050003,74.349998,74.75,35295300,46.825684
"2011-07-13",75.150002,75.75,75,75.449997,14581528,47.264187
"2011-07-14",75.599998,75.650002,75.050003,75.5,12480475,47.295509
"2011-07-15",75.199997,75.900002,75.099998,75.599998,7498723,47.358143
"2011-07-18",75,75.849998,74.800003,75.050003,12878805,47.013607
"2011-07-19",74.5,75.400002,74.400002,75.25,14568750,47.138897
"2011-07-20",75.150002,75.349998,74.75,75.199997,18478761,47.107574
"2011-07-21",76,76.599998,75.650002,75.900002,17678253,47.546082
"2011-07-22",77.400002,78.25,77.349998,78,37932574,48.861591
"2011-07-25",76.900002,77.699997,76.900002,77.5,10310796,48.548363
"2011-07-26",77,78.150002,77,77.949997,13302966,48.830269
"2011-07-27",77.550003,78.050003,77.25,77.400002,13073678,48.485718
"2011-07-28",76.550003,77.400002,76.349998,77.349998,17866285,48.454411
"2011-07-29",77,77.349998,76.400002,76.550003,14676021,47.953262
"2011-08-01",77.599998,78.199997,76.900002,76.949997,17512325,48.203819
"2011-08-02",77.300003,78.599998,77.300003,77.900002,43539932,48.798935
"2011-08-03",76.900002,77.050003,76.099998,77,29743076,48.235149
"2011-08-04",77,77,75.75,76.150002,19381284,47.702682
"2011-08-05",72.849998,73.300003,72.199997,72.699997,66266123,45.5415
"2011-08-08",70.800003,72.050003,69.849998,71.599998,42506584,44.852432
"2011-08-09",66.449997,69.599998,65.099998,66.400002,83337957,41.594982
"2011-08-10",69,69.800003,68.599998,69,24104131,43.223705
"2011-08-11",65.75,67.900002,65.5,67,59944043,41.97084
"2011-08-12",68.300003,68.5,67,67.150002,28275742,42.064823
"2011-08-15",69.900002,70.349998,69.400002,69.800003,31213915,43.724869
"2011-08-16",69,69.900002,68.800003,69.099998,21408263,43.286354
"2011-08-17",69.599998,69.900002,69.199997,69.449997,19143858,44.002014
"2011-08-18",68.449997,69.449997,68,68.050003,21078552,43.115009
"2011-08-19",65.5,66.349998,65.099998,65.199997,42854106,41.309315
"2011-08-22",65.050003,66.650002,65,66.5,25470641,42.132965
"2011-08-23",65.75,67.199997,65.5,67.150002,14574239,42.544804
"2011-08-24",66.5,66.800003,65.300003,65.349998,16578406,41.404354
"2011-08-25",65.650002,66.099998,65.5,65.900002,14754921,41.752823
"2011-08-26",65.550003,66.099998,64.900002,65.050003,13125317,41.214279
"2011-08-29",65.050003,65.900002,64.949997,65.5,12300495,41.499386
"2011-08-30",66.449997,66.900002,66.050003,66.449997,13487096,42.101292
"2011-08-31",66.5,67.400002,66.349998,67.25,14878171,42.608154
"2011-09-01",67.949997,68.650002,67.300003,67.400002,23802627,42.70319
"2011-09-02",66.5,67.300003,66.5,67.150002,23313000,42.544804
"2011-09-05",65.550003,65.949997,65.099998,65.300003,22743904,41.372677
"2011-09-06",63.450001,64.25,63,64.099998,34264044,40.612377
"2011-09-07",64.25,64.800003,64.099998,64.599998,15846487,40.929176
"2011-09-08",65.300003,65.300003,64.25,64.650002,12263848,40.960846
"2011-09-09",65.050003,65.550003,64.699997,64.949997,18211746,41.150925
"2011-09-12",62,62.349998,61.150002,61.400002,36563078,38.901733
"2011-09-14",61.599998,62.150002,60.299999,61.75,24343246,39.123474
"2011-09-15",62.200001,62.799999,61.450001,62.650002,18823374,39.693695
"2011-09-16",64.349998,65.400002,64.349998,64.599998,25107707,40.929176
"2011-09-19",63.599998,64,62.650002,62.900002,16274245,39.852081
