"Index","Open","High","Low","Close","Volume","Adjusted"
"2011-01-03",3.92,3.99,3.89,3.99,112545528,2.47016
"2011-01-04",4.03,4.04,4,4.02,113135047,2.488733
"2011-01-05",4.02,4.07,4,4.06,114413503,2.513496
"2011-01-06",4.06,4.07,4.03,4.06,88269776,2.513496
"2011-01-07",4.03,4.06,3.98,4.06,132334707,2.513496
"2011-01-10",4,4.02,3.92,3.93,92986881,2.433014
"2011-01-11",3.92,4.02,3.92,4,130828985,2.476351
"2011-01-12",3.99,4.05,3.98,4.03,128138712,2.494923
"2011-01-13",4.08,4.08,3.99,4,150801297,2.476351
"2011-01-14",4,4.02,3.96,3.97,140545852,2.457778
"2011-01-17",3.97,4,3.91,3.92,167735747,2.426824
"2011-01-18",3.92,3.97,3.92,3.93,81843828,2.433014
"2011-01-19",3.97,4.01,3.93,3.97,124254338,2.457778
"2011-01-20",3.95,3.96,3.9,3.91,123568668,2.420633
"2011-01-21",3.88,3.94,3.87,3.89,107214621,2.408251
"2011-01-24",3.89,3.9,3.82,3.83,127524508,2.371106
"2011-01-25",3.83,3.91,3.83,3.88,164341053,2.40206
"2011-01-26",3.89,3.9,3.84,3.88,92310893,2.40206
"2011-01-27",3.89,3.94,3.86,3.88,106082203,2.40206
"2011-01-28",3.86,3.88,3.83,3.84,87972143,2.377296
"2011-01-31",3.79,3.86,3.78,3.84,139870579,2.377296
"2011-02-01",3.86,3.86,3.8,3.83,85543760,2.371106
"2011-02-02",3.85833333333333,3.86333333333333,3.79833333333333,3.825,92024334,2.3680105
"2011-02-07",3.85,3.88,3.79,3.8,124427204,2.352533
"2011-02-08",3.8,3.82,3.76,3.78,115294155,2.340151
"2011-02-09",3.76,3.79,3.69,3.71,235599122,2.296815
"2011-02-10",3.67,3.68,3.63,3.64,252836191,2.253479
"2011-02-11",3.64,3.66,3.59,3.61,173096874,2.234906
"2011-02-14",3.64,3.76,3.64,3.72,127212380,2.303006
"2011-02-15",3.74,3.83,3.72,3.75,123586428,2.321579
"2011-02-16",3.75,3.8,3.71,3.78,76363663,2.340151
"2011-02-17",3.8,3.9,3.78,3.87,128906332,2.395869
"2011-02-18",3.9,3.95,3.89,3.9,148222641,2.414442
"2011-02-21",3.89,3.91,3.83,3.88,74216672,2.40206
"2011-02-22",3.85,3.85,3.76,3.79,108034920,2.346342
"2011-02-23",3.79,3.8,3.75,3.76,64381711,2.32777
"2011-02-24",3.75,3.84,3.72,3.74,84213119,2.315388
"2011-02-25",3.76,3.8,3.73,3.79,69074596,2.346342
"2011-02-28",3.79,3.89,3.78,3.86,126751417,2.389678
"2011-03-01",3.88,3.92,3.85,3.9,98886619,2.414442
"2011-03-02",3.85,3.97,3.85,3.97,150288280,2.457778
"2011-03-03",3.98,4.04,3.96,4.01,229018016,2.482542
"2011-03-04",4.06,4.08,4.03,4.06,210900860,2.513496
"2011-03-07",4.06,4.07,4.01,4.02,72011770,2.488733
"2011-03-08",4.05,4.08,4,4.07,114632012,2.519686
"2011-03-09",4.1,4.15,4.09,4.14,215762913,2.563023
"2011-03-10",4.15,4.16,4.1,4.15,163731313,2.569214
"2011-03-11",4.11,4.11,4.02,4.04,167627747,2.501114
"2011-03-14",4.04,4.09,4,4.09,113834100,2.532068
"2011-03-15",4.06,4.1,3.94,4.09,281101824,2.532068
"2011-03-16",4.17,4.18,4.06,4.12,209426983,2.550641
"2011-03-17",4.06,4.09,4,4.04,157457450,2.501114
"2011-03-18",4.1,4.1,4.04,4.05,103472412,2.507305
"2011-03-21",4.12,4.12,4.06,4.09,84480589,2.532068
"2011-03-22",4.1,4.12,4.08,4.11,76282608,2.54445
"2011-03-23",4.13,4.13,4.08,4.08,71414075,2.525878
"2011-03-24",4.14,4.15,4.1,4.11,138222260,2.54445
"2011-03-25",4.19,4.2,4.17,4.2,293958734,2.600168
"2011-03-28",4.22,4.25,4.16,4.21,234895144,2.606359
"2011-03-29",4.2,4.22,4.12,4.13,168463235,2.556832
"2011-03-30",4.21,4.25,4.18,4.24,382761879,2.624932
"2011-03-31",4.38,4.45,4.32,4.41,654237030,2.730176
"2011-04-01",4.44,4.45,4.36,4.44,264860557,2.748749
"2011-04-04",4.44,4.5,4.45,4.48,251607231,2.773513
"2011-04-06",4.48,4.48,4.42,4.44,192274348,2.748749
"2011-04-07",4.47,4.47,4.42,4.45,122332645,2.75494
"2011-04-08",4.48,4.6,4.44,4.58,417748577,2.835422
"2011-04-11",4.58,4.6,4.49,4.53,212648066,2.804467
"2011-04-12",4.5,4.51,4.38,4.44,178803725,2.748749
"2011-04-13",4.45,4.54,4.38,4.52,188787000,2.798276
"2011-04-14",4.55,4.67,4.51,4.62,323094818,2.860185
"2011-04-15",4.64,4.7,4.58,4.65,189269954,2.878758
"2011-04-18",4.6,4.67,4.51,4.55,145144717,2.816849
"2011-04-19",4.5,4.5,4.43,4.5,163342267,2.785894
"2011-04-20",4.54,4.7,4.53,4.68,162451964,2.89733
"2011-04-21",4.73,4.74,4.67,4.73,156066483,2.928285
"2011-04-26",4.71,4.74,4.63,4.71,88601113,2.915903
"2011-04-27",4.75,4.85,4.68,4.71,280656686,2.915903
"2011-04-28",4.76,4.82,4.7,4.74,248313439,2.934475
"2011-04-29",4.69,4.74,4.56,4.59,214155869,2.841613
"2011-05-03",4.54,4.68,4.52,4.56,209522111,2.82304
"2011-05-04",4.5,4.55,4.46,4.49,153965733,2.779704
"2011-05-05",4.49,4.59,4.46,4.48,176438407,2.773513
"2011-05-06",4.45,4.61,4.44,4.57,151384941,2.829231
"2011-05-09",4.59,4.62,4.53,4.59,91666903,2.841613
"2011-05-11",4.65,4.65,4.55,4.6,91192542,2.847803
"2011-05-12",4.55,4.57,4.5,4.51,76495572,2.792085
"2011-05-13",4.56,4.57,4.49,4.54,100762888,2.810658
"2011-05-16",4.52,4.52,4.44,4.46,133703531,2.761131
"2011-05-17",4.42,4.52,4.4,4.5,90111095,2.785894
"2011-05-18",4.51,4.64,4.51,4.62,94828601,2.860185
"2011-05-19",4.65,4.7,4.62,4.66,83289451,2.884948
"2011-05-20",4.69,4.7,4.63,4.63,47807044,2.866376
"2011-05-23",4.6,4.61,4.49,4.51,120781300,2.792085
"2011-05-24",4.51,4.6,4.51,4.58,62075056,2.835422
"2011-05-25",4.55,4.6,4.5,4.57,79263720,2.829231
"2011-05-26",4.61,4.61,4.56,4.58,52563343,2.835422
"2011-05-27",4.61,4.65,4.58,4.62,68311211,2.860185
"2011-05-30",4.65,4.68,4.62,4.67,74454908,2.89114
"2011-05-31",4.72,4.77,4.7,4.75,126948928,2.940666
"2011-06-01",4.73,4.75,4.62,4.62,158183920,2.860185
"2011-06-02",4.52,4.56,4.41,4.43,342753369,2.742558
"2011-06-03",4.45,4.45,4.31,4.36,322802753,2.699222
"2011-06-07",4.26,4.35,4.26,4.35,165140601,2.693032
"2011-06-08",4.38,4.38,4.24,4.25,245482001,2.631122
"2011-06-09",4.19,4.19,4.03,4.09,302700249,2.571293
"2011-06-10",4.1,4.11,4.01,4.08,216219351,2.565006
"2011-06-13",4.02,4.16,4.02,4.14,166255003,2.602727
"2011-06-14",4.09,4.24,4.06,4.18,226042965,2.627874
"2011-06-15",4.2,4.21,4.1,4.12,138348576,2.590153
"2011-06-16",4.07,4.08,4,4.02,264953280,2.527286
"2011-06-17",4.03,4.06,3.98,4.02,169138683,2.527286
"2011-06-20",4.05,4.06,3.96,3.99,106611730,2.508425
"2011-06-21",3.99,4.01,3.81,3.94,341105372,2.476992
"2011-06-22",3.94,3.96,3.82,3.85,277541920,2.42041
"2011-06-23",3.81,3.83,3.74,3.77,296180340,2.370116
"2011-06-24",3.79,4.01,3.79,4,348653584,2.514712
"2011-06-27",3.95,4.11,3.95,4.06,280530970,2.552433
"2011-06-28",4.12,4.12,4.02,4.05,205411461,2.546146
"2011-06-29",4.11,4.11,3.96,4,187723552,2.514712
