time,humidity,temperature
1522081647.938131, 59.0, 20.0
1522081652.676254, 58.0, 21.0
1522081659.938705, 57.0, 21.0
1522081667.217087, 57.0, 21.0
1522081671.977707, 57.0, 21.0
1522081676.739325, 57.0, 21.0
1522081681.50218, 57.0, 21.0
1522081686.321927, 57.0, 21.0
1522081691.780018, 56.0, 21.0
1522081699.151873, 56.0, 21.0
1522081703.913439, 58.0, 22.0
1522081708.701921, 57.0, 22.0
1522081713.446642, 57.0, 22.0
1522081718.742744, 57.0, 22.0
1522081723.504529, 57.0, 22.0
1522081728.264691, 57.0, 22.0
1522081735.515964, 57.0, 22.0
1522081740.290831, 57.0, 22.0
1522081745.047075, 57.0, 22.0
1522081749.804344, 57.0, 22.0
1522081754.615776, 56.0, 22.0
1522081759.53131, 57.0, 22.0
1522081764.315981, 57.0, 22.0
1522081769.07022, 56.0, 22.0
1522081778.856707, 57.0, 22.0
1522081783.638562, 56.0, 22.0
1522081790.916952, 56.0, 22.0
1522081798.212337, 56.0, 22.0
1522081803.228185, 56.0, 22.0
1522081808.033979, 56.0, 23.0
1522081812.803351, 56.0, 23.0
1522081820.106707, 55.0, 23.0
1522081829.907729, 55.0, 23.0
1522081834.647716, 55.0, 23.0
1522081839.473603, 55.0, 23.0
1522081844.481448, 55.0, 23.0
1522081849.234826, 55.0, 23.0
1522081853.961812, 54.0, 23.0
1522081858.724709, 54.0, 23.0
1522081867.406107, 54.0, 23.0
1522081872.183647, 54.0, 23.0
1522081876.919005, 54.0, 23.0
1522081881.667194, 53.0, 23.0
1522081886.401834, 53.0, 23.0
1522081898.967523, 53.0, 24.0
1522081903.74667, 53.0, 24.0
1522081908.497752, 53.0, 24.0
1522081913.257505, 53.0, 24.0
1522081918.07696, 53.0, 24.0
1522081923.264431, 52.0, 24.0
1522081928.50058, 52.0, 24.0
1522081934.303907, 52.0, 24.0
1522081943.46315, 52.0, 24.0
1522081954.194237, 52.0, 24.0
1522081964.203068, 52.0, 24.0
1522081975.11557, 51.0, 24.0
1522081983.240243, 51.0, 24.0
1522081994.219198, 51.0, 24.0
1522082001.033919, 51.0, 24.0
1522082006.648875, 51.0, 24.0
1522082020.929917, 51.0, 24.0
1522082025.729801, 50.0, 24.0
1522082030.632573, 51.0, 24.0
1522082037.090381, 50.0, 24.0
1522082043.599831, 51.0, 25.0
1522082054.014886, 50.0, 25.0
1522082062.181009, 50.0, 25.0
1522082069.813527, 50.0, 25.0
1522082077.166139, 50.0, 25.0
1522082084.448089, 50.0, 25.0
1522082089.173366, 50.0, 25.0
1522082098.938377, 50.0, 25.0
1522082103.739685, 50.0, 25.0
1522082109.364708, 50.0, 25.0
1522082117.254492, 50.0, 25.0
1522082122.103562, 50.0, 25.0
1522082137.867258, 50.0, 25.0
1522082145.216968, 49.0, 25.0
1522082150.015048, 50.0, 25.0
1522082154.800273, 49.0, 25.0
1522082159.560093, 49.0, 25.0
1522082164.351875, 49.0, 25.0
1522082169.805545, 49.0, 25.0
1522082181.131473, 49.0, 25.0
1522082190.743331, 49.0, 25.0
1522082201.559473, 49.0, 25.0
1522082214.132266, 50.0, 26.0
1522082219.806375, 49.0, 25.0
1522082225.50132, 49.0, 25.0
1522082231.291679, 49.0, 25.0
1522082238.853186, 49.0, 25.0
1522082250.167194, 49.0, 25.0
1522082255.65656, 50.0, 26.0
1522082265.440654, 49.0, 25.0
1522082272.785221, 50.0, 26.0
1522082277.570397, 48.0, 25.0
1522082282.367959, 49.0, 26.0
1522082287.589319, 49.0, 26.0
1522082294.857908, 49.0, 26.0
1522082299.595642, 49.0, 26.0
1522082306.883307, 49.0, 26.0
1522082314.1529, 49.0, 26.0
1522082318.918496, 49.0, 26.0
1522082326.191647, 49.0, 26.0
1522082330.927927, 49.0, 26.0
1522082335.634579, 49.0, 26.0
1522082340.397271, 49.0, 26.0
1522082345.122298, 49.0, 26.0
1522082349.853409, 49.0, 26.0
1522082354.621487, 48.0, 26.0
1522082359.512112, 48.0, 26.0
1522082372.029791, 48.0, 26.0
1522082379.264079, 48.0, 26.0
1522082388.995376, 48.0, 26.0
1522082398.310536, 48.0, 26.0
1522082403.113268, 48.0, 26.0
1522082415.86824, 48.0, 27.0
1522082424.716409, 48.0, 27.0
1522082429.976353, 48.0, 27.0
1522082434.785737, 48.0, 27.0
1522082439.544217, 47.0, 27.0
1522082444.532344, 47.0, 27.0
1522082449.301683, 47.0, 27.0
1522082454.085864, 47.0, 27.0
1522082458.832197, 47.0, 27.0
1522082463.576745, 47.0, 27.0
1522082473.389365, 47.0, 27.0
1522082478.204725, 47.0, 27.0
1522082483.057375, 47.0, 27.0
1522082490.351098, 47.0, 27.0
1522082500.159585, 46.0, 27.0
1522082504.967369, 46.0, 27.0
1522082509.693532, 46.0, 27.0
1522082522.026339, 46.0, 27.0
1522082526.737892, 46.0, 27.0
1522082531.503498, 46.0, 27.0
1522082538.770743, 47.0, 28.0
1522082543.559661, 47.0, 28.0
1522082548.296425, 47.0, 28.0
1522082553.168474, 46.0, 28.0
1522082558.209458, 46.0, 28.0
1522082562.994772, 46.0, 28.0
1522082576.292282, 46.0, 28.0
1522082581.067324, 45.0, 27.0
1522082591.424403, 46.0, 28.0
1522082596.203679, 46.0, 28.0
1522082600.933693, 46.0, 28.0
1522082605.675216, 46.0, 28.0
1522082612.945696, 46.0, 28.0
1522082617.703671, 46.0, 28.0
1522082622.443635, 46.0, 28.0
1522082627.210132, 46.0, 28.0
1522082631.979442, 45.0, 28.0
1522082637.253683, 45.0, 28.0
1522082642.080804, 45.0, 28.0
1522082647.113544, 45.0, 28.0
1522082651.99113, 45.0, 28.0
1522082656.732872, 45.0, 28.0
1522082661.532014, 45.0, 28.0
1522082666.297329, 45.0, 28.0
1522082673.558575, 45.0, 28.0
1522082683.715867, 45.0, 28.0
1522082693.557923, 45.0, 28.0
1522082699.127381, 45.0, 28.0
1522082704.975805, 45.0, 28.0
1522082710.902009, 46.0, 29.0
1522082716.71853, 46.0, 29.0
1522082722.778984, 45.0, 28.0
1522082728.128548, 45.0, 28.0
1522082733.322611, 45.0, 28.0
1522082739.36249, 45.0, 29.0
1522082758.864421, 44.0, 28.0
1522082763.649879, 45.0, 29.0
1522082770.915762, 45.0, 29.0
1522082780.735571, 45.0, 29.0
1522082785.468322, 45.0, 29.0
1522082790.203536, 45.0, 29.0
1522082794.962795, 45.0, 29.0
1522082799.809088, 45.0, 29.0
1522082809.15671, 45.0, 29.0
1522082816.258902, 45.0, 29.0
1522082824.669679, 45.0, 29.0
1522082838.560035, 45.0, 29.0
1522082845.199741, 45.0, 29.0
1522082851.838148, 45.0, 29.0
1522082858.479401, 45.0, 29.0
1522082865.118869, 45.0, 29.0
1522082871.75975, 45.0, 29.0
1522082876.595796, 45.0, 29.0
1522082881.392699, 45.0, 29.0
1522082906.138553, 45.0, 29.0
1522082911.876374, 44.0, 29.0
1522082922.629456, 44.0, 29.0
1522082956.212217, 44.0, 29.0
1522082970.079191, 44.0, 29.0
1522082974.319414, 44.0, 30.0
1522082980.959233, 44.0, 30.0
1522082987.599252, 44.0, 30.0
1522082994.237207, 43.0, 30.0
1522083003.407413, 43.0, 30.0
1522083010.079468, 43.0, 30.0
1522083016.7185, 43.0, 30.0
1522083023.356046, 43.0, 30.0
1522083029.998637, 43.0, 30.0
1522083036.638695, 43.0, 30.0
1522083045.817221, 42.0, 30.0
1522083052.477252, 42.0, 30.0
1522083059.19926, 41.0, 30.0
1522083065.839614, 41.0, 30.0
1522083072.474494, 42.0, 31.0
1522083079.119413, 42.0, 31.0
1522083085.758023, 41.0, 31.0
1522083094.9271, 40.0, 31.0
1522083101.59754, 40.0, 31.0
1522083108.238652, 40.0, 31.0
1522083114.877998, 40.0, 31.0
1522083136.878316, 40.0, 31.0
1522083143.519538, 39.0, 31.0
1522083177.111764, 39.0, 31.0
1522083200.19279, 39.0, 31.0
1522083208.763559, 38.0, 31.0
1522083218.230537, 38.0, 31.0
1522083222.978862, 38.0, 31.0
1522083232.012081, 38.0, 31.0
1522083236.784014, 38.0, 31.0
1522083241.513689, 38.0, 31.0
1522083246.32034, 38.0, 31.0
1522083267.810762, 38.0, 31.0
1522083273.132459, 38.0, 31.0
1522083281.278246, 38.0, 31.0
1522083288.584749, 38.0, 31.0
1522083293.324025, 38.0, 31.0
1522083298.117073, 38.0, 31.0
1522083302.911414, 38.0, 31.0
1522083315.327396, 38.0, 31.0
1522083320.417974, 38.0, 31.0
1522083327.701166, 38.0, 31.0
1522083344.125867, 38.0, 31.0
1522083353.336639, 38.0, 31.0
1522083362.526036, 38.0, 31.0
1522083374.252464, 38.0, 31.0
1522083380.879487, 38.0, 31.0
1522083390.433756, 38.0, 32.0
1522083400.262497, 38.0, 31.0
1522083407.546563, 38.0, 31.0
1522083412.867341, 38.0, 31.0
1522083420.175717, 38.0, 31.0
1522083432.726901, 37.0, 31.0
1522083440.147083, 37.0, 32.0
1522083446.10473, 37.0, 32.0
1522083450.833549, 37.0, 32.0
1522083458.185522, 37.0, 32.0
1522083463.01105, 37.0, 32.0
1522083470.289676, 37.0, 32.0
1522083480.07725, 37.0, 32.0
1522083484.93763, 37.0, 32.0
1522083490.427793, 37.0, 32.0
1522083501.047515, 37.0, 32.0
1522083512.108406, 37.0, 32.0
1522083525.442212, 37.0, 32.0
1522083535.199481, 36.0, 32.0
1522083541.838354, 36.0, 32.0
1522083547.03948, 36.0, 32.0
1522083552.247839, 36.0, 32.0
1522083559.570691, 36.0, 32.0
1522083565.81266, 36.0, 32.0
1522083570.61687, 36.0, 32.0
1522083587.969572, 36.0, 32.0
1522083595.767385, 36.0, 32.0
1522083605.536713, 37.0, 33.0
1522083614.04027, 36.0, 33.0
1522083625.920989, 35.0, 32.0
1522083635.305912, 36.0, 33.0
1522083647.006305, 35.0, 32.0
1522083660.877744, 36.0, 33.0
1522083670.044678, 35.0, 33.0
1522083679.245631, 35.0, 33.0
1522083688.098553, 35.0, 33.0
1522083694.924429, 35.0, 33.0
1522083701.165009, 35.0, 33.0
1522083709.928606, 34.0, 33.0
1522083716.765826, 34.0, 33.0
1522083723.003966, 34.0, 34.0
1522083729.245462, 33.0, 34.0
1522083735.485051, 34.0, 34.0
1522083744.251635, 34.0, 34.0
1522083751.083189, 34.0, 34.0
1522083757.324432, 33.0, 34.0
1522083766.091093, 33.0, 34.0
1522083770.399226, 33.0, 34.0
1522083776.637549, 33.0, 34.0
1522083781.200568, 33.0, 34.0
1522083790.810252, 32.0, 34.0
1522083797.492235, 32.0, 34.0
1522083804.017568, 32.0, 34.0
1522083833.741691, 32.0, 34.0
1522083840.238262, 32.0, 34.0
1522083846.478304, 32.0, 34.0
1522083851.038823, 32.0, 34.0
1522083859.466817, 32.0, 34.0
1522083871.23169, 32.0, 34.0
1522083879.495585, 32.0, 34.0
1522083885.287782, 32.0, 34.0
1522083895.598846, 32.0, 35.0
1522083902.007244, 32.0, 34.0
1522083908.27186, 32.0, 34.0
1522083913.212686, 32.0, 34.0
1522083918.040791, 32.0, 34.0
1522083924.032082, 32.0, 34.0
1522083929.920372, 32.0, 35.0
1522083946.143774, 32.0, 34.0
1522083979.715397, 32.0, 34.0
1522084013.301777, 32.0, 34.0
1522084019.998792, 32.0, 34.0
1522084026.636672, 32.0, 34.0
1522084033.277837, 32.0, 35.0
1522084039.919162, 32.0, 34.0
1522084046.558306, 32.0, 35.0
1522084058.25502, 31.0, 35.0
1522084062.397898, 32.0, 35.0
1522084071.56745, 31.0, 35.0
1522084078.206766, 32.0, 35.0
1522084084.879183, 32.0, 35.0
1522084091.518447, 31.0, 35.0
1522084100.683723, 31.0, 35.0
1522084107.359445, 31.0, 35.0
1522084113.999484, 31.0, 35.0
1522084123.16625, 30.0, 35.0
1522084129.838609, 31.0, 35.0
1522084136.477413, 31.0, 35.0
1522084143.117467, 31.0, 35.0
1522084149.758015, 30.0, 35.0
1522084158.926374, 30.0, 35.0
1522084165.599483, 30.0, 35.0
1522084172.238047, 30.0, 35.0
1522084178.87951, 30.0, 35.0
1522084185.519443, 30.0, 35.0
1522084192.15637, 30.0, 35.0
1522084201.336353, 30.0, 35.0
1522084207.99902, 30.0, 36.0
1522084219.696524, 30.0, 36.0
1522084223.838496, 30.0, 36.0
1522084233.005975, 30.0, 36.0
1522084239.678327, 30.0, 36.0
1522084246.319217, 30.0, 36.0
1522084252.958137, 30.0, 36.0
1522084264.652312, 30.0, 36.0
1522084268.798068, 30.0, 36.0
1522084277.966134, 29.0, 36.0
1522084284.639299, 29.0, 36.0
1522084291.278348, 29.0, 36.0
1522084297.918034, 29.0, 36.0
1522084312.145059, 29.0, 36.0
1522084318.848236, 29.0, 36.0
1522084328.045897, 29.0, 36.0
1522084334.71858, 29.0, 36.0
1522084341.358427, 28.0, 36.0
1522084350.527134, 28.0, 36.0
1522084357.19833, 28.0, 36.0
1522084363.838258, 28.0, 36.0
1522084370.477085, 28.0, 37.0
1522084377.118381, 28.0, 37.0
1522084383.357868, 28.0, 37.0
1522084389.597881, 28.0, 37.0
1522084395.837889, 28.0, 37.0
1522084407.126891, 28.0, 37.0
1522084410.718419, 27.0, 37.0
1522084427.47755, 27.0, 37.0
1522084436.281968, 27.0, 37.0
1522084442.959139, 27.0, 37.0
1522084452.126995, 27.0, 37.0
1522084461.327103, 27.0, 37.0
1522084470.527097, 27.0, 37.0
1522084477.198219, 26.0, 37.0
1522084488.897498, 26.0, 37.0
1522084496.125775, 26.0, 37.0
1522084510.345588, 26.0, 37.0
1522084519.530736, 27.0, 38.0
1522084526.202947, 26.0, 37.0
1522084529.759292, 27.0, 38.0
1522084536.397212, 27.0, 38.0
1522084545.566007, 27.0, 38.0
1522084552.238035, 26.0, 38.0
1522084561.407101, 26.0, 38.0
1522084570.605429, 26.0, 38.0
1522084579.80707, 26.0, 38.0
1522084586.479513, 26.0, 38.0
1522084593.118078, 26.0, 38.0
1522084599.759323, 26.0, 38.0
1522084608.926093, 26.0, 38.0
1522084615.598984, 26.0, 38.0
1522084624.763164, 25.0, 38.0
1522084631.43982, 25.0, 38.0
1522084638.079193, 25.0, 38.0
1522084644.71722, 25.0, 38.0
1522084653.885329, 25.0, 38.0
1522084660.559432, 25.0, 38.0
1522084667.197383, 25.0, 38.0
1522084673.838112, 25.0, 38.0
1522084685.534023, 25.0, 38.0
1522084694.764284, 24.0, 38.0
1522084701.438124, 24.0, 38.0
1522084708.078361, 24.0, 38.0
1522084714.717063, 25.0, 39.0
1522084720.959205, 25.0, 39.0
1522084729.724756, 25.0, 39.0
1522084738.924966, 25.0, 39.0
1522084745.599174, 25.0, 39.0
1522084752.239282, 25.0, 39.0
1522084758.878498, 25.0, 39.0
1522084777.214349, 25.0, 39.0
1522084784.446566, 25.0, 39.0
1522084787.99902, 25.0, 39.0
1522084794.636451, 25.0, 39.0
1522084806.335001, 25.0, 39.0
1522084815.53459, 24.0, 39.0
1522084820.238157, 24.0, 39.0
1522084826.878115, 24.0, 39.0
1522084833.118386, 24.0, 39.0
1522084839.359288, 24.0, 39.0
1522084845.598031, 24.0, 39.0
1522084851.837826, 24.0, 39.0
1522084860.606595, 24.0, 39.0
1522084866.846567, 24.0, 39.0
1522084872.926523, 24.0, 39.0
1522084879.599502, 24.0, 39.0
1522084888.766989, 24.0, 39.0
1522084895.437255, 24.0, 39.0
1522084902.079318, 24.0, 39.0
1522084911.245865, 23.0, 38.0
1522084920.444953, 23.0, 38.0
1522084929.647618, 23.0, 38.0
1522084933.758638, 23.0, 38.0
1522084942.924908, 23.0, 38.0
1522084952.13358, 23.0, 38.0
1522084956.238625, 23.0, 38.0
1522084962.879667, 23.0, 38.0
1522084969.514631, 23.0, 38.0
1522084976.157072, 24.0, 38.0
1522084982.797977, 24.0, 38.0
1522084989.438302, 24.0, 38.0
1522085001.135369, 24.0, 38.0
1522085007.807351, 24.0, 38.0
1522085014.47909, 24.0, 38.0
1522085021.12878, 24.0, 38.0
1522085030.287294, 24.0, 38.0
1522085034.397518, 24.0, 38.0
1522085043.566008, 24.0, 37.0
1522085050.238323, 24.0, 37.0
1522085059.407685, 24.0, 37.0
1522085063.51857, 24.0, 37.0
1522085070.158385, 24.0, 37.0
1522085079.324715, 24.0, 37.0
1522085085.9992, 25.0, 37.0
1522085092.638134, 25.0, 37.0
1522085099.277993, 25.0, 37.0
1522085105.917865, 25.0, 37.0
1522085112.55842, 25.0, 37.0
1522085119.199327, 25.0, 37.0
1522085125.838635, 25.0, 37.0
1522085132.479348, 26.0, 37.0
1522085139.119358, 26.0, 37.0
1522085145.757961, 26.0, 36.0
1522085157.452288, 26.0, 36.0
1522085164.075458, 26.0, 36.0
1522085173.245019, 26.0, 36.0
1522085179.919303, 26.0, 36.0
1522085200.877182, 26.0, 36.0
1522085205.997143, 27.0, 36.0
1522085212.239691, 27.0, 36.0
1522085248.652366, 27.0, 36.0
1522085253.449557, 27.0, 36.0
1522085262.606018, 27.0, 36.0
1522085269.279113, 27.0, 36.0
1522085275.917974, 27.0, 36.0
1522085282.559406, 27.0, 36.0
1522085289.199654, 27.0, 36.0
1522085295.838414, 27.0, 36.0
1522085302.478015, 27.0, 36.0
1522085318.33747, 27.0, 36.0
1522085329.357955, 27.0, 36.0
1522085341.054579, 28.0, 36.0
1522085348.285921, 28.0, 36.0
1522085354.923327, 28.0, 36.0
1522085361.010935, 28.0, 36.0
1522085365.117983, 28.0, 36.0
1522085376.057337, 27.0, 36.0
1522085393.818848, 27.0, 36.0
